Log Pis Min,AverageReturn_all_train_tasks,Policy log std Min,Policy mu Min,Log Pis Max,VF Loss,Policy log std Mean,Q Predictions Min,Log Pis Std,QF Loss,Policy log std Max,Sample Time (s),V Predictions Max,V Predictions Mean,Number of rollouts total,AverageReturn_all_test_tasks,Number of env steps total,Policy mu Mean,KL Loss,Policy mu Std,Z mean train,Q Predictions Std,Z mean eval,Total Train Time (s),Q Predictions Max,Log Pis Mean,KL Divergence,(Previous) Eval Time (s),Number of train steps total,Epoch,V Predictions Std,Z variance eval,Policy mu Max,Q Predictions Mean,Policy Loss,Epoch Time (s),Policy log std Std,Z variance train,V Predictions Min,Train Time (s)
-8.349476,196.19148947429832,-0.004013274,-0.00610864,-3.0887995,28.846973,0.00022867486,-0.004847423,0.6132263,59.129864,0.004116518,8.814486993243918,0.008004339,-0.00028608978,0,196.09297173296056,8885,0.0005567829,11.323511,0.0020498596,0.002658242,0.0013119483,0.0017967424,11.637319894274697,0.0036316526,-5.357836,113.23511,0,2,0,0.0018322798,0.0011663337,0.00688048,-0.0006300542,-5.335525,8.952265113126487,0.0010984343,0.010804158,-0.006311102,0.13777811988256872
-8.3349085,195.70490989984216,-0.033563785,-0.022428306,-3.3880424,28.401882,-0.024378294,-0.05176989,0.5451584,57.24533,-0.018975412,4.774041116703302,0.05620832,0.036474593,0,193.38048380833345,13690,0.0046651047,11.279019,0.013887585,0.0024224638,0.00328217,0.002933798,19.279439268866554,-0.030310132,-5.39992,112.79019,2.6919060931541026,4,1,0.003589116,0.0011810033,0.028676454,-0.038235664,-5.337825,7.591258603846654,0.0021664286,0.010957185,0.028896911,0.12531139398925006
-7.9716644,194.1566409458353,-0.08322856,-0.030388353,-3.7386222,27.60702,-0.057890706,-0.11237262,0.45828202,54.568382,-0.046125267,4.674091458087787,0.12081603,0.07665092,0,195.5203613671301,18385,0.0016487273,11.230492,0.018005978,0.003446654,0.0069357,0.0028058188,26.787949970457703,-0.06292962,-5.420045,112.30492,2.7381607790011913,6,2,0.007118161,0.0011992112,0.037363537,-0.08001612,-5.31082,7.53410752909258,0.004994253,0.011129502,0.061752718,0.12185529200360179
-8.203421,204.53160389483287,-0.14502773,-0.03828365,-4.349571,26.763535,-0.10529497,-0.18493497,0.3626604,53.04043,-0.08162219,4.596885069971904,0.19446053,0.12609392,0,201.7392804856924,23013,-0.0035652842,11.170687,0.012294552,0.003360861,0.012404626,0.0026232922,34.219814244890586,-0.09991313,-5.456692,111.70686,2.7129125259816647,8,3,0.012304223,0.0012210491,0.021567887,-0.1318688,-5.2866173,7.436025897972286,0.009563359,0.011340823,0.098305285,0.12622830201871693
-9.628883,203.04615405011083,-0.24187137,-0.03127166,-4.6329956,25.2966,-0.1634852,-0.2813705,0.33294693,53.051735,-0.12043985,4.624815815594047,0.28424147,0.18974425,0,202.9961637209413,27669,-0.002179718,11.0998,0.0141519895,0.0036709884,0.0208143,0.0020944555,41.64806805062108,-0.14603175,-5.458055,110.998,2.708914555143565,10,4,0.02017931,0.0012488158,0.039185926,-0.19878614,-5.207984,7.467306492617354,0.016647508,0.0115991775,0.14242746,0.13357612187974155
-9.321392,204.6915503656674,-0.2840189,-0.04922359,-4.7275267,23.317265,-0.18811001,-0.42598727,0.32881472,51.066628,-0.13739182,4.524223151849583,0.43322715,0.2742252,0,204.4681140963101,32196,0.003165969,11.006935,0.022701299,0.0024940344,0.03427513,0.005350554,48.973741822643206,-0.2014972,-5.447061,110.06935,2.6701610710006207,12,5,0.033863828,0.0012832243,0.049767833,-0.2871682,-5.0908966,7.318688131868839,0.020107003,0.011943642,0.19687836,0.12430390901863575
-8.883238,200.72187913307297,-0.25665724,-0.022938479,-4.718253,21.06105,-0.17391878,-0.642776,0.32896075,47.50272,-0.1302628,4.868084609508514,0.6533587,0.38678318,0,199.4128212935225,37110,0.0045964867,10.883925,0.014708206,0.0074230563,0.050512265,0.0060443752,56.61225859913975,-0.27270037,-5.4604692,108.83925,2.677512461086735,14,6,0.04977166,0.001331653,0.049688905,-0.40450835,-4.962503,7.664634122513235,0.017054612,0.0124012055,0.26659995,0.11903705191798508
-10.279745,196.442110778757,-0.21667333,-0.016801277,-4.5956984,18.137465,-0.14911224,-0.8562435,0.3187921,45.75772,-0.114107676,4.493675188859925,0.8576197,0.53772885,0,196.147249348358,41635,0.0028782282,10.727496,0.006185719,0.008198538,0.075257584,0.0075004385,63.890514572383836,-0.35943905,-5.46572,107.27496,2.6516156350262463,16,7,0.075125165,0.001386197,0.025402362,-0.56020236,-4.7812705,7.26955552585423,0.013834124,0.013056075,0.3545581,0.12426470196805894
-8.632831,195.670555675027,-0.1831356,-0.018463118,-4.179854,14.590719,-0.1266896,-1.321317,0.33648428,43.600357,-0.09953718,4.681716198800132,1.3242725,0.73766094,0,194.18886515668078,46350,-0.0005733163,10.528468,0.0075942087,0.01068098,0.11075832,0.008164033,71.37728069652803,-0.47654602,-5.4665985,105.28468,2.6606896340381354,18,8,0.109604806,0.0014637422,0.022131983,-0.7675996,-4.535187,7.468988555949181,0.010850488,0.013920831,0.46513405,0.12658272311091423
-7.921682,195.60064098293196,-0.15339707,-0.019349946,-4.440534,10.681766,-0.11236724,-1.7197081,0.34177268,41.723446,-0.08992095,4.48626962210983,1.663259,0.993297,0,191.60331763810706,50856,-0.0035636649,10.293187,0.008368278,0.0119295325,0.15089862,0.010702104,78.64390268595889,-0.6149528,-5.470688,102.93187,2.678810255834833,20,9,0.14935164,0.0015661581,0.020883117,-1.0292392,-4.226544,7.288939607795328,0.0089399675,0.014990684,0.6062168,0.12385972985066473
