Z mean eval,Epoch Time (s),Policy mu Mean,AverageReturn_all_test_tasks,Log Pis Max,V Predictions Min,Policy log std Min,Z variance eval,Train Time (s),Z variance train,Sample Time (s),Policy log std Mean,Policy log std Std,VF Loss,Q Predictions Max,Number of env steps total,Total Train Time (s),KL Divergence,V Predictions Max,QF Loss,V Predictions Mean,Epoch,Q Predictions Std,Policy log std Max,Policy mu Std,Q Predictions Mean,(Previous) Eval Time (s),V Predictions Std,Z mean train,Log Pis Min,Number of train steps total,KL Loss,Log Pis Std,Policy mu Min,Log Pis Mean,Policy mu Max,Policy Loss,Q Predictions Min,Number of rollouts total
0.024644293,8.153295541880652,0.0014681647,160.87959850867114,-7.8822303,-0.087916516,-0.38942793,0.0011695899,0.4402794321067631,0.0026917353,7.713016109773889,-0.0037078112,0.022350136,133.6098,0.3887063,9184,8.80180419748649,157.44702,0.21846811,1110.1343,0.017436856,0,0.034362417,0.22114195,0.021971082,0.022465914,0,0.02766311,0.02690267,-14.845701,1,15.744702,0.90098673,-0.31129098,-11.393278,0.32261512,-11.539759,-0.027011424,0
0.021902382,5.65806531556882,0.002515277,203.03873646916975,-2.5856256,0.028878016,-1.0899875,0.001169627,0.40967677789740264,0.0028353953,4.597761726705357,-0.070914924,0.08957319,134.63808,1.6788635,14325,14.472121571190655,155.7759,1.8893696,1105.9956,0.16993389,1,0.20022155,-0.0077763237,0.066299245,0.15459087,0.6506268109660596,0.21178861,0.032562297,-17.02795,2,15.57759,0.90831923,-0.6582303,-11.449823,0.7822665,-11.741184,0.017113501,0
0.018907199,5.772691498277709,0.005252039,279.5620509247611,-2.98174,0.051833272,-1.1106731,0.0012635861,0.43081186804920435,0.002954456,4.678789822151884,-0.08763031,0.09345296,135.32147,3.5271254,19501,20.22278104047291,154.36859,3.888661,1101.6501,0.32965523,2,0.3744337,-0.010671023,0.029288927,0.29486066,0.6630898080766201,0.404484,0.0224364,-15.688928,3,15.436859,0.7703137,-0.432549,-11.488239,0.4336709,-11.938953,0.035180308,0
0.0252779,5.834389377152547,0.004657908,262.77508143956493,-6.350316,0.07660923,-0.9825208,0.001291294,0.4175876150839031,0.003162454,4.775458969175816,-0.09021263,0.07829831,136.49458,5.1976266,24631,26.08251230046153,152.53146,5.447675,1082.0513,0.51874614,3,0.5877203,-0.012756592,0.033267286,0.46387544,0.6413427928928286,0.6414541,0.021476371,-16.850523,4,15.253146,0.7025587,-0.37549263,-11.530699,0.42261332,-12.18138,0.05474105,0
0.019276725,5.648437386378646,0.0013737866,218.66625756654562,-8.050507,0.10392669,-0.68434596,0.0013354903,0.4042866169475019,0.003319099,4.577141398563981,-0.08794462,0.055174865,136.89958,6.059157,29737,31.712627828586847,151.03488,6.936629,1065.2926,0.7161324,4,0.7811144,-0.017222503,0.037055425,0.6415873,0.6670093708671629,0.8548576,0.033304688,-14.73421,5,15.103488,0.66555446,-0.2801906,-11.536774,0.34082884,-12.396897,0.07602082,0
0.013270063,5.649640587158501,-0.0014012245,199.47180112658992,-6.8857317,0.13469352,-0.7926892,0.001414997,0.39237665687687695,0.0033275285,4.6084001392591745,-0.095578514,0.04863936,138.21657,9.968445,34885,37.36459594476037,149.7229,10.102113,1040.9546,0.9664533,5,1.0965186,-0.021319177,0.035877053,0.87185705,0.6488637910224497,1.1882222,0.01898665,-14.987145,6,14.97229,0.63271916,-0.36811778,-11.566344,0.325002,-12.703779,0.101370156,0
0.012564196,5.633616276085377,-0.002574334,188.8865761061094,0.22390415,0.1703109,-1.2619295,0.0014506215,0.39987197099253535,0.003640922,4.582184215076268,-0.11111273,0.052121248,139.42096,13.307131,40017,43.01028662500903,147.63022,13.4213505,1020.04126,1.2568033,6,1.4269917,-0.024890076,0.03098161,1.142752,0.6515600900165737,1.5331404,0.010698914,-16.141348,7,14.763022,0.6510654,-0.33772582,-11.579769,0.36032757,-13.043391,0.13075088,0
0.018160647,5.7024290463887155,-0.0033431195,188.83582837425502,-4.950493,0.2117652,-1.0860165,0.0015233525,0.39485770696774125,0.0037675223,4.643385965377092,-0.12742244,0.052622385,140.50897,14.62014,45177,48.707993066171184,146.20761,16.689112,1003.60986,1.5474901,7,1.7467538,-0.028241169,0.02268666,1.4158796,0.6641853740438819,1.8756123,0.012597553,-15.423383,8,14.620761,0.58356273,-0.21319428,-11.590688,0.23170483,-13.381334,0.16479293,0
0.018281532,5.551628286484629,-0.003237819,186.30044358658063,-8.368678,0.26051205,-0.7007675,0.001644707,0.4118576259352267,0.0043543475,4.4799290974624455,-0.13444258,0.045588963,142.04083,21.42224,50370,54.22765306662768,142.98462,21.725954,966.32983,1.9813875,8,2.3269808,-0.021215254,0.01702929,1.8242657,0.6598415630869567,2.477879,0.02683105,-14.562498,9,14.298462,0.5234419,-0.25228485,-11.592573,0.13337523,-13.877258,0.20616023,0
0.021756902,5.469560926780105,-0.002961713,181.5461892419138,-7.2550583,0.31809518,-0.7707432,0.0017839615,0.43077757209539413,0.0044999127,4.4104159597773105,-0.13294418,0.04824993,144.18835,26.675566,55479,59.68975660740398,140.71921,27.5721,932.60645,2.5175567,9,2.9782784,-0.011272033,0.015949493,2.3394933,0.6283673949074,3.1596887,0.020556862,-15.393284,10,14.071921,0.551793,-0.24668865,-11.589497,0.17729168,-14.495795,0.25649074,0
0.030827628,5.508724494604394,-0.0025503747,181.45152293281186,-6.0793395,0.38655812,-0.7669805,0.0019230035,0.39970455202274024,0.00487448,4.487806259654462,-0.12743556,0.044385698,146.85059,31.865704,60581,65.21852082805708,138.6735,30.368668,896.2599,3.0919538,10,3.6982,-0.02283027,0.018862404,2.9023972,0.6212136829271913,3.8677545,0.020347318,-15.464156,11,13.86735,0.55130553,-0.23772891,-11.588301,0.20624065,-15.169747,0.3154443,0
0.04549413,5.748223693342879,-0.0013972688,183.09564622186974,-7.201952,0.46768323,-0.7625911,0.0020572846,0.39251026092097163,0.0052315667,4.71368618728593,-0.124207705,0.042436764,150.35094,37.484715,65716,70.96422226913273,136.08548,39.694683,863.1124,3.8158853,11,4.4984717,-0.02350586,0.022063278,3.6219583,0.6420272451359779,4.65418,0.029743483,-16.522133,12,13.608548,0.5532209,-0.2383895,-11.584248,0.24178773,-16.02228,0.38821936,0
0.06113364,5.6507267858833075,0.00037059278,190.08901523395454,-8.718491,0.5646313,-0.544359,0.0022083586,0.4066416588611901,0.006023436,4.604703561868519,-0.12157119,0.037567057,154.38072,52.292137,70868,76.6245942353271,133.01566,53.45363,819.7522,4.5639467,12,5.49517,-0.02123499,0.022826968,4.3695025,0.6393815651535988,5.6292,0.05344619,-15.073231,13,13.301566,0.54664874,-0.21341285,-11.595164,0.19285981,-16.913807,0.47313944,0
0.07247697,5.781997081125155,0.0022153019,199.15466459380139,-8.261,0.6806251,-0.6738299,0.002518111,0.37380139878951013,0.0063281883,4.7587668602354825,-0.12067572,0.035532624,159.2951,54.583763,76032,82.41745999874547,129.95479,53.460747,778.281,5.6063347,13,6.823798,-0.032816224,0.022028888,5.410187,0.6494288221001625,7.042749,0.065717146,-15.062252,14,12.995479,0.54983133,-0.2097024,-11.596,0.14289807,-18.129105,0.5779125,0
0.07631809,5.773167627863586,0.0034750837,212.98989744296136,-9.675969,0.8180574,-0.45808446,0.0028712275,0.41646307008340955,0.00705521,4.696062123868614,-0.12245909,0.03574949,162.70044,75.798996,81154,88.18587719695643,126.17255,80.75473,769.55225,6.8212166,14,8.617166,-0.027753059,0.021158198,6.612484,0.660642433911562,8.810339,0.0783491,-14.479513,15,12.617255,0.5231464,-0.22654574,-11.596516,0.15648217,-19.451714,0.7069194,0
0.07658,5.660483584739268,0.0038501353,213.67470108655843,-9.850152,0.98003864,-0.47111115,0.0031746684,0.441416951129213,0.008304127,4.5628572255373,-0.119402364,0.03332486,161.71208,75.36509,86284,93.82895067916252,122.350266,78.37822,730.659,8.087904,15,9.696531,-0.03207868,0.01856018,7.8461695,0.6562094080727547,10.035373,0.08768428,-14.57261,16,12.235026,0.51150614,-0.16998488,-11.594949,0.15899743,-20.691393,0.85411596,0
0.091076374,5.693781642708927,0.003617172,212.8420759370447,-9.522382,1.1724316,-0.4204882,0.0035653992,0.4352173150982708,0.009702107,4.619338589487597,-0.11925578,0.032465998,150.68457,91.543175,91405,99.51273982599378,118.53898,100.75886,728.4074,9.425828,16,11.149865,-0.0351744,0.016683247,8.965562,0.6392257381230593,11.9308,0.091132395,-15.766715,17,11.853898,0.5399795,-0.1738407,-11.603874,0.14666477,-21.615637,1.0181074,0
0.11302894,5.606399496085942,0.0034194305,209.34197215116257,-9.5721245,1.4002721,-0.3770047,0.0039962186,0.40645447513088584,0.0101043675,4.570289009949192,-0.11933544,0.031625763,127.29672,117.25128,96503,105.10510050714947,115.78059,127.710915,733.27856,11.742259,17,13.005314,-0.037256606,0.015627319,10.717065,0.6296560110058635,14.713905,0.099708594,-14.638815,18,11.578059,0.5235619,-0.117554516,-11.598358,0.12450575,-22.896362,1.2028992,0
0.11599206,5.611981563968584,0.002939113,209.41602373061215,-9.589258,1.6709733,-0.5066688,0.004488269,0.39227272593416274,0.012515613,4.603703004075214,-0.12025474,0.03139818,102.322975,127.47725,101647,110.71618475927971,109.79207,160.63998,709.2822,13.871688,18,13.773037,-0.033840857,0.015238415,11.674294,0.6160058339592069,17.387556,0.1464734,-16.366148,19,10.979207,0.5380989,-0.111332215,-11.603849,0.1311517,-23.207817,1.3769579,0
0.10161947,5.627529258374125,0.002464975,204.85753902982879,-9.605745,1.9817071,-0.33911845,0.0047461013,0.38140179798938334,0.014626471,4.63059351220727,-0.12514873,0.03085483,105.92024,135.63034,106733,116.37728054262698,104.8504,183.36404,725.9873,16.674034,19,14.567807,-0.04260535,0.015486825,12.532341,0.6155339481774718,21.412512,0.15602873,-15.395155,20,10.485041,0.51673704,-0.09942096,-11.608426,0.1225549,-23.410894,1.5265657,0
